sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,sq_mt_price_by_place
170.0,4,3,1,2250,757550,4456,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,4456.18
169.0,4,3,5,2292,778450,4606,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,4456.18
169.0,4,3,4,2282,773450,4577,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,4456.18
174.0,4,3,1,2322,794000,4563,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
125.0,3,3,4,2170,720000,5760,Áticos,False,False,1995.0,False,True,True,True,True,True,True,True,True,en trámite,True,True,False,True,False,4275.46
170.0,3,2,2,2012,650000,3824,Pisos,False,False,1999.0,False,True,True,True,True,True,True,False,True,en trámite,False,False,True,False,True,4275.46
153.0,3,2,5,1827,570000,3725,Pisos,False,False,2019.0,False,True,True,True,True,True,True,True,True,B,True,False,False,False,True,3607.13
183.0,4,3,1,2514,950000,5191,Pisos,False,False,,False,True,True,True,True,True,True,False,True,en trámite,True,False,False,True,False,3773.82
130.0,3,2,1,1943,620000,4769,Pisos,False,False,,False,True,True,True,True,True,True,False,True,en trámite,True,None,None,None,None,4275.46
130.0,3,2,1,1943,620000,4769,Pisos,False,False,,False,True,True,True,True,True,True,False,True,en trámite,True,None,None,None,None,3773.82
65.0,3,1,2,816,170000,2615,Pisos,True,False,1960.0,False,True,False,False,False,True,False,False,True,E,False,False,True,True,True,2679.63
215.0,3,2,8,1894,599000,2786,Pisos,False,False,,None,None,True,True,True,True,True,True,True,E,True,False,False,True,False,3607.13
97.0,2,2,6,1816,565000,5825,Áticos,False,False,,False,True,True,True,True,True,True,True,True,en trámite,True,False,False,False,True,4456.18
209.0,4,3,2,2192,730000,3493,Pisos,False,False,2006.0,False,True,True,True,True,True,True,True,True,E,True,False,True,True,True,3636.96
64.0,0,1,3,1124,271078,4236,Áticos,False,False,,False,True,True,False,True,True,False,True,True,en trámite,True,None,None,None,None,3152.53
122.0,3,2,2,1655,495000,4057,Pisos,False,False,,False,True,False,True,True,True,True,False,True,en trámite,True,False,False,False,True,4456.18
78.0,2,2,1,979,220000,2821,Pisos,True,False,1988.0,False,True,False,True,True,True,True,True,True,E,True,None,None,None,None,2915.33
115.0,2,2,2,1655,495000,4304,Pisos,False,False,2005.0,False,True,True,True,True,True,True,False,True,D,True,False,False,True,True,2915.33
70.0,1,1,1,1382,375000,5357,Pisos,False,False,,None,None,True,True,True,True,True,False,True,en trámite,True,None,None,None,None,4456.18
53.0,2,1,5,725,145000,2736,Pisos,False,False,,False,True,False,True,False,True,False,False,False,E,False,None,None,None,None,2915.33
87.0,3,1,7,1094,260000,2989,Pisos,False,False,,True,False,True,True,True,True,False,True,False,en trámite,False,False,False,True,False,3152.53
113.0,3,2,4,1758,540000,4779,Pisos,False,False,,True,False,True,True,True,True,True,False,True,B,True,None,None,None,None,3607.13
119.0,3,2,,1370,369900,3108,Pisos,False,False,1985.0,False,True,False,True,True,True,True,False,True,E,False,False,False,True,False,3152.53
110.0,2,2,1,1296,339000,3082,Pisos,False,False,1996.0,False,True,False,True,True,True,True,False,True,E,True,False,False,True,False,3607.13
136.0,4,2,2,1664,499000,3669,Pisos,False,False,,False,True,True,True,True,True,True,False,True,D,True,False,False,False,True,4456.18
107.0,3,2,1,1323,350000,3271,Pisos,False,False,1998.0,False,True,True,True,True,True,True,True,False,E,False,False,False,False,True,3607.13
32.0,0,1,1,1092,259000,8094,None,False,False,2011.0,False,True,True,True,True,True,True,False,True,en trámite,True,None,None,None,None,4456.18
82.0,3,1,6,1024,235000,2866,Pisos,False,False,,None,None,True,True,True,True,False,True,False,en trámite,False,None,None,None,None,2915.33
190.0,4,3,1,2115,695000,3658,Pisos,False,False,,False,True,True,True,True,True,True,False,True,D,True,False,True,True,False,4456.18
177.0,4,3,1,2379,826000,4667,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
176.0,4,3,3,2379,826000,4693,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
138.0,3,2,3,2117,696000,5043,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
141.0,3,2,,2135,704000,4993,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
137.0,3,2,4,2092,685000,5000,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
139.0,3,2,3,2070,675000,4856,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
137.0,3,2,5,2070,675000,4927,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
109.0,2,2,,1795,556000,5101,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
137.0,3,2,5,2035,660000,4818,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
138.0,3,2,3,2049,666000,4826,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
137.0,3,2,3,2058,670000,4891,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
138.0,3,2,4,2060,671000,4862,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
115.0,2,2,,1869,588000,5113,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
137.0,3,2,6,2070,675000,4927,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
138.0,3,2,2,2038,661000,4790,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
137.0,3,2,4,2058,670000,4891,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
140.0,3,2,1,2049,666000,4757,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
140.0,3,2,2,2060,671000,4793,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
138.0,3,2,3,2094,686000,4971,Pisos,False,True,,None,None,False,False,True,True,True,True,False,en trámite,False,None,None,None,None,4456.18
